date,,maker,electric_vehicles_sold,YEAR,vehicle_category,,,,,,,,,,
01-02-2022,,Mahindra & Mahindra,1051,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,BYD India,27,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Hyundai Motor,64,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,BMW India,4,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Mercedes -Benz AG,4,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,KIA Motors,29,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Tata Motors,3911,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,MG Motor,714,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Mahindra & Mahindra,2027,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,BYD India,109,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Hyundai Motor,148,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,PCA Automobiles,132,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,BMW India,71,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Mercedes -Benz AG,18,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,Volvo Auto India,41,2022,4-Wheelers,,,,,,,,,,
01-02-2022,,KIA Motors,39,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Tata Motors,1036,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,MG Motor,118,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Mahindra & Mahindra,462,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Hyundai Motor,7,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Mercedes -Benz AG,2,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Tata Motors,2264,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,MG Motor,464,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Mahindra & Mahindra,1067,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,BYD India,39,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Hyundai Motor,59,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,BMW India,14,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Mercedes -Benz AG,4,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Volvo Auto India,5,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,KIA Motors,61,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Tata Motors,4432,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,MG Motor,723,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Mahindra & Mahindra,1222,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,BYD India,106,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Hyundai Motor,125,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,PCA Automobiles,98,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,BMW India,215,2022,4-Wheelers,,,,,,,,,,
01-03-2022,,Mercedes -Benz AG,35,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Volvo Auto India,57,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,KIA Motors,29,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,Tata Motors,1952,2022,4-Wheelers,,,,,,,,,,
01-04-2022,,MG Motor,99,2022,4-Wheelers,,,,,,,,,,
